seed,dataset,intervention,description,n_examples,mean_bos_attention,stderr,display,baseline_mean_bos_attention,relative_to_baseline_pct
0,sst2,int_a,Baseline,100,0.601977,0.002535,0.6020 ± 0.0025,0.601977,100.0
0,sst2,int_b,No Query Bias,100,0.268178,0.002591,0.2682 ± 0.0026,0.601977,44.549542590497644
0,sst2,int_c,Remove First PE,100,0.014667,0.000926,0.0147 ± 0.0009,0.601977,2.4364718253355195
0,sst2,int_d,Swap EPE,100,0.039539,0.000995,0.0395 ± 0.0010,0.601977,6.56819114351545
0,sst2,int_e,Swap PE,100,0.587192,0.006286,0.5872 ± 0.0063,0.601977,97.54392609684425
0,sst2,int_f,Nullify BOS Token,100,0.598057,0.002491,0.5981 ± 0.0025,0.601977,99.34881233003918
0,sst2,int_g,No MLP,100,0.243553,0.008886,0.2436 ± 0.0089,0.601977,40.45885474029739
0,sst2,int_h,No PE,100,0.108406,0.016971,0.1084 ± 0.0170,0.601977,18.008329221880572
0,sst2,int_i,Zero Top-3 Wk,100,0.395805,0.002574,0.3958 ± 0.0026,0.601977,65.7508509461325
0,sst2,int_j,Zero Random Wk,100,0.602458,0.002519,0.6025 ± 0.0025,0.601977,100.07990338501305
0,gsm8k,int_a,Baseline,100,0.54912,0.003013,0.5491 ± 0.0030,0.54912,100.0
0,gsm8k,int_b,No Query Bias,100,0.235307,0.002131,0.2353 ± 0.0021,0.54912,42.85165355477855
0,gsm8k,int_c,Remove First PE,100,0.012105,0.000829,0.0121 ± 0.0008,0.54912,2.2044361888111883
0,gsm8k,int_d,Swap EPE,100,0.040106,0.001908,0.0401 ± 0.0019,0.54912,7.303685897435897
0,gsm8k,int_e,Swap PE,100,0.542768,0.004661,0.5428 ± 0.0047,0.54912,98.84324009324008
0,gsm8k,int_f,Nullify BOS Token,100,0.549383,0.003026,0.5494 ± 0.0030,0.54912,100.0478948135198
0,gsm8k,int_g,No MLP,100,0.296528,0.009543,0.2965 ± 0.0095,0.54912,54.00058275058275
0,gsm8k,int_h,No PE,100,0.142314,0.015382,0.1423 ± 0.0154,0.54912,25.916739510489506
0,gsm8k,int_i,Zero Top-3 Wk,100,0.362894,0.002617,0.3629 ± 0.0026,0.54912,66.08646561771562
0,gsm8k,int_j,Zero Random Wk,100,0.549302,0.003008,0.5493 ± 0.0030,0.54912,100.03314393939392
0,humaneval,int_a,Baseline,100,0.539954,0.002129,0.5400 ± 0.0021,0.539954,100.0
0,humaneval,int_b,No Query Bias,100,0.245259,0.002139,0.2453 ± 0.0021,0.539954,45.422202632076065
0,humaneval,int_c,Remove First PE,100,0.021907,0.001028,0.0219 ± 0.0010,0.539954,4.057197464969238
0,humaneval,int_d,Swap EPE,100,0.027321,0.000281,0.0273 ± 0.0003,0.539954,5.059875470873444
0,humaneval,int_e,Swap PE,100,0.541416,0.002184,0.5414 ± 0.0022,0.539954,100.27076380580567
0,humaneval,int_f,Nullify BOS Token,100,0.536889,0.00215,0.5369 ± 0.0022,0.539954,99.43235905280818
0,humaneval,int_g,No MLP,100,0.3108,0.005783,0.3108 ± 0.0058,0.539954,57.56045885390237
0,humaneval,int_h,No PE,100,0.078257,0.006095,0.0783 ± 0.0061,0.539954,14.493271649066399
0,humaneval,int_i,Zero Top-3 Wk,100,0.341624,0.001579,0.3416 ± 0.0016,0.539954,63.26909329313237
0,humaneval,int_j,Zero Random Wk,100,0.540171,0.002128,0.5402 ± 0.0021,0.539954,100.04018860865925
1,sst2,int_a,Baseline,100,0.603901,0.002728,0.6039 ± 0.0027,0.603901,100.0
1,sst2,int_b,No Query Bias,100,0.271508,0.002684,0.2715 ± 0.0027,0.603901,44.95902474081017
1,sst2,int_c,Remove First PE,100,0.014467,0.000793,0.0145 ± 0.0008,0.603901,2.3955913303670635
1,sst2,int_d,Swap EPE,100,0.039195,0.001077,0.0392 ± 0.0011,0.603901,6.490302218409972
1,sst2,int_e,Swap PE,100,0.588963,0.006276,0.5890 ± 0.0063,0.603901,97.5264157535755
1,sst2,int_f,Nullify BOS Token,100,0.60073,0.002701,0.6007 ± 0.0027,0.603901,99.47491393456875
1,sst2,int_g,No MLP,100,0.246382,0.009357,0.2464 ± 0.0094,0.603901,40.79840901074844
1,sst2,int_h,No PE,100,0.093352,0.014813,0.0934 ± 0.0148,0.603901,15.458162844572206
1,sst2,int_i,Zero Top-3 Wk,100,0.398826,0.002833,0.3988 ± 0.0028,0.603901,66.04161940450504
1,sst2,int_j,Zero Random Wk,100,0.604473,0.002721,0.6045 ± 0.0027,0.603901,100.09471751164513
1,gsm8k,int_a,Baseline,100,0.547899,0.002619,0.5479 ± 0.0026,0.547899,100.0
1,gsm8k,int_b,No Query Bias,100,0.236959,0.00195,0.2370 ± 0.0020,0.547899,43.24866444362921
1,gsm8k,int_c,Remove First PE,100,0.015202,0.001101,0.0152 ± 0.0011,0.547899,2.7745989680579815
1,gsm8k,int_d,Swap EPE,100,0.036527,0.002016,0.0365 ± 0.0020,0.547899,6.66673967282291
1,gsm8k,int_e,Swap PE,100,0.547115,0.003191,0.5471 ± 0.0032,0.547899,99.8569079337615
1,gsm8k,int_f,Nullify BOS Token,100,0.5489,0.0027,0.5489 ± 0.0027,0.547899,100.18269790600094
1,gsm8k,int_g,No MLP,100,0.28261,0.008061,0.2826 ± 0.0081,0.547899,51.580674540380606
1,gsm8k,int_h,No PE,100,0.127493,0.013419,0.1275 ± 0.0134,0.547899,23.269434695080662
1,gsm8k,int_i,Zero Top-3 Wk,100,0.362274,0.002233,0.3623 ± 0.0022,0.547899,66.1205806179606
1,gsm8k,int_j,Zero Random Wk,100,0.548099,0.002601,0.5481 ± 0.0026,0.547899,100.03650307812205
1,humaneval,int_a,Baseline,100,0.539033,0.001865,0.5390 ± 0.0019,0.539033,100.0
1,humaneval,int_b,No Query Bias,100,0.243907,0.00249,0.2439 ± 0.0025,0.539033,45.2489921767313
1,humaneval,int_c,Remove First PE,100,0.022262,0.001003,0.0223 ± 0.0010,0.539033,4.1299883309556185
1,humaneval,int_d,Swap EPE,100,0.0273,0.000268,0.0273 ± 0.0003,0.539033,5.064624985854299
1,humaneval,int_e,Swap PE,100,0.54048,0.001914,0.5405 ± 0.0019,0.539033,100.26844367599014
1,humaneval,int_f,Nullify BOS Token,100,0.53615,0.001895,0.5361 ± 0.0019,0.539033,99.46515333940594
1,humaneval,int_g,No MLP,100,0.309866,0.005974,0.3099 ± 0.0060,0.539033,57.485534280832525
1,humaneval,int_h,No PE,100,0.078167,0.005919,0.0782 ± 0.0059,0.539033,14.501338508031976
1,humaneval,int_i,Zero Top-3 Wk,100,0.340851,0.001542,0.3409 ± 0.0015,0.539033,63.233790881077795
