seed,dataset,intervention,description,n_examples,mean_bos_attention,stderr,display,baseline_mean_bos_attention,relative_to_baseline_pct
0,all_datasets,int_a,Baseline,300,0.563683,0.00217,0.5637 ± 0.0022,0.563683,100.0
0,all_datasets,int_b,No Query Bias,300,0.249581,0.001543,0.2496 ± 0.0015,0.563683,44.276836448855114
0,all_datasets,int_c,Remove First PE,300,0.016227,0.000587,0.0162 ± 0.0006,0.563683,2.8787456779785794
0,all_datasets,int_d,Swap EPE,300,0.035655,0.000797,0.0357 ± 0.0008,0.563683,6.325363723937035
0,all_datasets,int_e,Swap PE,300,0.557125,0.002966,0.5571 ± 0.0030,0.563683,98.83658013457918
0,all_datasets,int_f,Nullify BOS Token,300,0.561443,0.002129,0.5614 ± 0.0021,0.563683,99.6026135256873
0,all_datasets,int_g,No MLP,300,0.283627,0.005025,0.2836 ± 0.0050,0.563683,50.31675604905594
0,all_datasets,int_h,No PE,300,0.109659,0.008018,0.1097 ± 0.0080,0.563683,19.45401936904253
0,all_datasets,int_i,Zero Top-3 Wk,300,0.366774,0.00185,0.3668 ± 0.0019,0.563683,65.06742264712612
0,all_datasets,int_j,Zero Random Wk,300,0.563977,0.002173,0.5640 ± 0.0022,0.563683,100.05215697475352
1,all_datasets,int_a,Baseline,300,0.563611,0.002173,0.5636 ± 0.0022,0.563611,100.0
1,all_datasets,int_b,No Query Bias,300,0.250791,0.001626,0.2508 ± 0.0016,0.563611,44.49717979244549
1,all_datasets,int_c,Remove First PE,300,0.017311,0.000596,0.0173 ± 0.0006,0.563611,3.0714446666229014
1,all_datasets,int_d,Swap EPE,300,0.034341,0.000819,0.0343 ± 0.0008,0.563611,6.093032250967424
1,all_datasets,int_e,Swap PE,300,0.558853,0.002723,0.5589 ± 0.0027,0.563611,99.15580072070986
1,all_datasets,int_f,Nullify BOS Token,300,0.561927,0.002148,0.5619 ± 0.0021,0.563611,99.70121236100785
1,all_datasets,int_g,No MLP,300,0.279619,0.0048,0.2796 ± 0.0048,0.563611,49.61205512312571
1,all_datasets,int_h,No PE,300,0.099671,0.007027,0.0997 ± 0.0070,0.563611,17.684360312343088
1,all_datasets,int_i,Zero Top-3 Wk,300,0.367317,0.001901,0.3673 ± 0.0019,0.563611,65.17207790479605
1,all_datasets,int_j,Zero Random Wk,300,0.563942,0.002177,0.5639 ± 0.0022,0.563611,100.05872844923184
2,all_datasets,int_a,Baseline,300,0.563806,0.002206,0.5638 ± 0.0022,0.563806,100.0
2,all_datasets,int_b,No Query Bias,300,0.251415,0.001617,0.2514 ± 0.0016,0.563806,44.59246620291377
2,all_datasets,int_c,Remove First PE,300,0.016484,0.000617,0.0165 ± 0.0006,0.563806,2.9237007055618416
2,all_datasets,int_d,Swap EPE,300,0.035617,0.000792,0.0356 ± 0.0008,0.563806,6.317243874666109
2,all_datasets,int_e,Swap PE,300,0.55721,0.002936,0.5572 ± 0.0029,0.563806,98.83009403943909
2,all_datasets,int_f,Nullify BOS Token,300,0.561807,0.002174,0.5618 ± 0.0022,0.563806,99.645445419169
2,all_datasets,int_g,No MLP,300,0.284649,0.004747,0.2846 ± 0.0047,0.563806,50.48704696296244
2,all_datasets,int_h,No PE,300,0.09551,0.006732,0.0955 ± 0.0067,0.563806,16.94022411964399
2,all_datasets,int_i,Zero Top-3 Wk,300,0.367586,0.001888,0.3676 ± 0.0019,0.563806,65.19724869902059
2,all_datasets,int_j,Zero Random Wk,300,0.564146,0.002208,0.5641 ± 0.0022,0.563806,100.06030443095675
3,all_datasets,int_a,Baseline,300,0.565626,0.00206,0.5656 ± 0.0021,0.565626,100.0
3,all_datasets,int_b,No Query Bias,300,0.251495,0.001656,0.2515 ± 0.0017,0.565626,44.4631258110483
3,all_datasets,int_c,Remove First PE,300,0.016477,0.000608,0.0165 ± 0.0006,0.565626,2.913055623327075
3,all_datasets,int_d,Swap EPE,300,0.034978,0.000803,0.0350 ± 0.0008,0.565626,6.18394486816377
3,all_datasets,int_e,Swap PE,300,0.562767,0.002541,0.5628 ± 0.0025,0.565626,99.49454233009092
3,all_datasets,int_f,Nullify BOS Token,300,0.563677,0.002034,0.5637 ± 0.0020,0.565626,99.6554260235562
3,all_datasets,int_g,No MLP,300,0.279275,0.005067,0.2793 ± 0.0051,0.565626,49.37449834342834
3,all_datasets,int_h,No PE,300,0.109571,0.007365,0.1096 ± 0.0074,0.565626,19.37163426009413
3,all_datasets,int_i,Zero Top-3 Wk,300,0.367501,0.001806,0.3675 ± 0.0018,0.565626,64.97243761778985
3,all_datasets,int_j,Zero Random Wk,300,0.566019,0.002062,0.5660 ± 0.0021,0.565626,100.06948054014492
4,all_datasets,int_a,Baseline,300,0.56475,0.002145,0.5647 ± 0.0021,0.56475,100.0
4,all_datasets,int_b,No Query Bias,300,0.252551,0.001584,0.2526 ± 0.0016,0.56475,44.719079238601154
4,all_datasets,int_c,Remove First PE,300,0.016072,0.000631,0.0161 ± 0.0006,0.56475,2.8458610004426736
4,all_datasets,int_d,Swap EPE,300,0.034886,0.00078,0.0349 ± 0.0008,0.56475,6.1772465692784415
4,all_datasets,int_e,Swap PE,300,0.55726,0.003005,0.5573 ± 0.0030,0.56475,98.67374944665782
4,all_datasets,int_f,Nullify BOS Token,300,0.562985,0.002118,0.5630 ± 0.0021,0.56475,99.68747233289066
4,all_datasets,int_g,No MLP,300,0.289364,0.004832,0.2894 ± 0.0048,0.56475,51.23753873395308
