intervention,description,mean_bos_attention_mean,mean_bos_attention_std,stderr_mean,relative_to_baseline_pct_mean,relative_to_baseline_pct_std,n_seeds
int_a,Baseline,0.5644328571428571,0.0008191113942501555,0.0021434285714285713,100.0,0.0,7
int_b,No Query Bias,0.25142014285714287,0.000989091574555731,0.001604,44.543810728944344,0.14885727202256402,7
int_c,Remove First PE,0.016391,0.00048395592085781155,0.0006044285714285715,2.9040395476732876,0.08811322357659508,7
int_d,Swap EPE,0.035024,0.00046621668781801536,0.0007992857142857143,6.205198646880791,0.08496864537835033,7
int_e,Swap PE,0.5585208571428572,0.002037692275473357,0.002863,98.95244332420513,0.28036120309334417,7
int_f,Nullify BOS Token,0.5625082857142857,0.0008430323667739838,0.0021160000000000003,99.65902419937483,0.03263528267718873,7
int_g,No MLP,0.28268314285714286,0.0036587369600529058,0.004949285714285714,50.08280644950112,0.6545987653148067,7
int_h,No PE,0.10381085714285714,0.006269287504136642,0.007275428571428572,18.391664528575586,1.1029111107623144,7
int_i,Zero Top-3 Wk,0.3677307142857143,0.0006543270625321093,0.0018752857142857143,65.15050962144186,0.09504055515999166,7
int_j,Zero Random Wk,0.5647674285714286,0.0008379060920220252,0.002146,100.05927172160322,0.005177213881093923,7
