dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
sst2,int_a,Baseline,100,0.601977,0.002535,0.6020 ± 0.0025
sst2,int_b,No Query Bias,100,0.268178,0.002591,0.2682 ± 0.0026
sst2,int_c,Remove First PE,100,0.014667,0.000926,0.0147 ± 0.0009
sst2,int_d,Swap EPE,100,0.039539,0.000995,0.0395 ± 0.0010
sst2,int_e,Swap PE,100,0.587192,0.006286,0.5872 ± 0.0063
sst2,int_f,Nullify BOS Token,100,0.598057,0.002491,0.5981 ± 0.0025
sst2,int_g,No MLP,100,0.243553,0.008886,0.2436 ± 0.0089
sst2,int_h,No PE,100,0.108406,0.016971,0.1084 ± 0.0170
sst2,int_i,Zero Top-3 Wk,100,0.395805,0.002574,0.3958 ± 0.0026
sst2,int_j,Zero Random Wk,100,0.602458,0.002519,0.6025 ± 0.0025
gsm8k,int_a,Baseline,100,0.549120,0.003013,0.5491 ± 0.0030
gsm8k,int_b,No Query Bias,100,0.235307,0.002131,0.2353 ± 0.0021
gsm8k,int_c,Remove First PE,100,0.012105,0.000829,0.0121 ± 0.0008
gsm8k,int_d,Swap EPE,100,0.040106,0.001908,0.0401 ± 0.0019
gsm8k,int_e,Swap PE,100,0.542768,0.004661,0.5428 ± 0.0047
gsm8k,int_f,Nullify BOS Token,100,0.549383,0.003026,0.5494 ± 0.0030
gsm8k,int_g,No MLP,100,0.296528,0.009543,0.2965 ± 0.0095
gsm8k,int_h,No PE,100,0.142314,0.015382,0.1423 ± 0.0154
gsm8k,int_i,Zero Top-3 Wk,100,0.362894,0.002617,0.3629 ± 0.0026
gsm8k,int_j,Zero Random Wk,100,0.549302,0.003008,0.5493 ± 0.0030
humaneval,int_a,Baseline,100,0.539954,0.002129,0.5400 ± 0.0021
humaneval,int_b,No Query Bias,100,0.245259,0.002139,0.2453 ± 0.0021
humaneval,int_c,Remove First PE,100,0.021907,0.001028,0.0219 ± 0.0010
humaneval,int_d,Swap EPE,100,0.027321,0.000281,0.0273 ± 0.0003
humaneval,int_e,Swap PE,100,0.541416,0.002184,0.5414 ± 0.0022
humaneval,int_f,Nullify BOS Token,100,0.536889,0.002150,0.5369 ± 0.0022
humaneval,int_g,No MLP,100,0.310800,0.005783,0.3108 ± 0.0058
humaneval,int_h,No PE,100,0.078257,0.006095,0.0783 ± 0.0061
humaneval,int_i,Zero Top-3 Wk,100,0.341624,0.001579,0.3416 ± 0.0016
humaneval,int_j,Zero Random Wk,100,0.540171,0.002128,0.5402 ± 0.0021
